inspection_id,batch_id,material_id,inspection_type,reason,opened_datetime,closed_datetime,status,labour_hours,external_cost_aud,outcome
INSP00162,B016,M00502,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-07T17:18:00,2025-06-13T01:18:00,Completed,2.7,118.32,Cleared
INSP00163,B016,M00503,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-05T17:18:00,2025-06-11T00:18:00,Completed,3.4,280.18,Cleared
INSP00164,B016,M00504,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-08T20:18:00,2025-06-11T03:18:00,Completed,2.1,22.63,Cleared
INSP00165,B016,M00510,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-09T16:18:00,2025-06-13T21:18:00,Completed,3.7,154.75,Cleared
INSP00166,B016,M00519,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-07T17:18:00,2025-06-09T00:18:00,Completed,3.1,118.18,Cleared
INSP00167,B016,M00520,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-06T17:18:00,2025-06-07T18:18:00,Completed,0.5,443.96,Cleared
INSP00168,B016,M00523,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-05T23:18:00,2025-06-07T00:18:00,Completed,2.5,402.29,Special Handling
INSP00169,B016,M00524,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-09T16:18:00,2025-06-11T20:18:00,Completed,0.6,32.61,Route Changed
INSP00170,B016,M00527,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-08T17:18:00,2025-06-14T00:18:00,Completed,1.1,321.68,Cleared
INSP00171,B016,M00530,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-05T17:18:00,2025-06-07T23:18:00,Completed,3.9,355.97,Cleared
INSP00172,B016,M00532,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-05T17:18:00,2025-06-07T01:18:00,Completed,3.6,47.01,Route Changed
INSP00173,B016,M00533,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-07T21:18:00,2025-06-12T04:18:00,Completed,1.3,447.45,Cleared
INSP00174,B016,M00536,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-07T21:18:00,2025-06-10T02:18:00,Completed,3.5,177.11,Special Handling
INSP00175,B016,M00537,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-06T20:18:00,2025-06-09T03:18:00,Completed,1.2,153.14,Cleared
INSP00176,B017,M00539,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T20:18:00,2025-06-23T03:18:00,Completed,4.0,24.43,Cleared
INSP00177,B017,M00540,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T23:18:00,2025-06-20T06:18:00,Completed,2.3,221.84,Cleared
INSP00178,B017,M00541,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T15:18:00,2025-06-18T16:18:00,Completed,3.3,406.36,Cleared
INSP00179,B017,M00542,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T20:18:00,2025-06-23T04:18:00,Completed,2.8,6.18,Cleared
INSP00180,B017,M00543,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T18:18:00,2025-06-24T19:18:00,Completed,1.3,413.36,Cleared
INSP00181,B017,M00544,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T17:18:00,2025-06-19T00:18:00,Completed,3.8,244.73,Cleared
INSP00182,B017,M00546,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T17:18:00,2025-06-20T21:18:00,Completed,1.6,110.29,Special Handling
INSP00183,B017,M00547,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T15:18:00,2025-06-20T20:18:00,Completed,1.8,1.37,Route Changed
INSP00184,B017,M00548,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T19:18:00,2025-06-21T20:18:00,Completed,3.2,300.11,Route Changed
INSP00185,B017,M00549,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T21:18:00,2025-06-20T00:18:00,Completed,3.9,187.84,Cleared
INSP00186,B017,M00550,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T23:18:00,2025-06-23T05:18:00,Completed,1.9,410.10,Cleared
INSP00187,B017,M00552,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T18:18:00,2025-06-24T21:18:00,Completed,2.6,122.49,Cleared
INSP00188,B017,M00553,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T20:18:00,2025-06-23T04:18:00,Completed,1.9,202.83,Cleared
INSP00189,B017,M00554,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-20T20:18:00,2025-06-25T21:18:00,Completed,3.5,433.00,Cleared
INSP00190,B017,M00556,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T16:18:00,2025-06-21T19:18:00,Completed,1.1,388.95,Cleared
INSP00191,B017,M00557,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T15:18:00,2025-06-18T23:18:00,Completed,2.5,415.53,Cleared
INSP00192,B017,M00558,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T20:18:00,2025-06-24T22:18:00,Completed,2.4,349.03,Route Changed
INSP00193,B017,M00560,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T16:18:00,2025-06-21T21:18:00,Completed,0.6,365.28,Route Changed
INSP00194,B017,M00561,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T19:18:00,2025-06-19T21:18:00,Completed,0.5,270.12,Cleared
INSP00195,B017,M00562,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T19:18:00,2025-06-22T23:18:00,Completed,2.0,362.09,Cleared
INSP00196,B017,M00564,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-20T21:18:00,2025-06-23T04:18:00,Completed,1.1,211.99,Cleared
INSP00197,B017,M00565,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T20:18:00,2025-06-24T01:18:00,Completed,2.7,166.99,Cleared
INSP00198,B017,M00567,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-18T18:18:00,2025-06-21T02:18:00,Completed,3.0,114.70,Cleared
INSP00199,B017,M00571,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-20T15:18:00,2025-06-23T21:18:00,Completed,3.8,246.03,Cleared
INSP00200,B017,M00572,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T20:18:00,2025-06-23T03:18:00,Completed,2.1,350.33,Cleared
INSP00201,B017,M00573,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T16:18:00,2025-06-19T21:18:00,Completed,1.3,198.15,Cleared
INSP00202,B017,M00574,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T19:18:00,2025-06-19T03:18:00,Completed,3.1,49.36,Special Handling
INSP00203,B017,M00575,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T19:18:00,2025-06-20T23:18:00,Completed,3.1,293.74,Special Handling
INSP00204,B017,M00576,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T23:18:00,2025-06-22T04:18:00,Completed,2.3,167.16,Special Handling
INSP00205,B017,M00577,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-20T19:18:00,2025-06-25T01:18:00,Completed,1.0,202.43,Special Handling
INSP00206,B017,M00578,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-19T18:18:00,2025-06-21T01:18:00,Completed,3.7,201.36,Cleared
INSP00207,B017,M00579,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-16T22:18:00,2025-06-21T02:18:00,Completed,3.9,76.26,Cleared
INSP00208,B017,M00580,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-20T22:18:00,2025-06-24T05:18:00,Completed,2.6,106.82,Cleared
INSP00209,B017,M00581,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-17T16:18:00,2025-06-21T19:18:00,Completed,0.6,183.90,Cleared
INSP00210,B018,M00584,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-30T21:26:00,2025-07-02T04:26:00,Completed,0.7,27.21,Cleared
INSP00211,B018,M00587,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-27T21:26:00,2025-07-03T04:26:00,Completed,0.8,167.47,Cleared
INSP00212,B018,M00589,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-27T18:26:00,2025-07-02T21:26:00,Completed,1.5,134.68,Cleared
INSP00213,B018,M00590,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-27T20:26:00,2025-07-01T22:26:00,Completed,1.1,178.49,Special Handling
INSP00214,B018,M00591,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-06-30T17:26:00,2025-07-04T20:26:00,Completed,2.9,195.81,Route Changed
INSP00215,B018,M00599,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-01T00:26:00,2025-07-06T03:26:00,Completed,1.8,210.94,Cleared
INSP00216,B018,M00601,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-28T17:26:00,2025-07-02T19:26:00,Completed,0.9,179.31,Cleared
INSP00217,B018,M00608,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-26T23:26:00,2025-07-02T02:26:00,Completed,1.9,364.66,Special Handling
INSP00218,B018,M00609,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-06-28T20:26:00,2025-06-30T00:26:00,Completed,1.6,133.94,Cleared
INSP00219,B019,M00611,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-06T02:20:00,2025-07-07T08:20:00,Completed,0.6,391.41,Cleared
INSP00220,B019,M00613,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-08T00:20:00,2025-07-12T05:20:00,Completed,1.8,355.66,Special Handling
INSP00221,B019,M00615,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-07T22:20:00,2025-07-12T02:20:00,Completed,1.2,333.25,Cleared
INSP00222,B019,M00617,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-07T20:20:00,2025-07-12T02:20:00,Completed,1.0,449.33,Cleared
INSP00223,B019,M00619,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-08T02:20:00,2025-07-09T03:20:00,Completed,1.0,186.67,Cleared
INSP00224,B019,M00629,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-06T21:20:00,2025-07-09T02:20:00,Completed,3.2,37.51,Cleared
INSP00225,B019,M00630,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-03T21:20:00,2025-07-05T22:20:00,Completed,1.9,396.15,Cleared
INSP00226,B019,M00641,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-06T19:20:00,2025-07-09T01:20:00,Completed,2.1,208.37,Special Handling
INSP00227,B019,M00642,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-03T21:20:00,2025-07-07T00:20:00,Completed,3.0,286.06,Cleared
INSP00228,B020,M00646,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T23:44:00,2025-07-20T01:44:00,Completed,1.0,296.05,Cleared
INSP00229,B020,M00651,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T15:44:00,2025-07-20T16:44:00,Completed,1.7,183.74,Special Handling
INSP00230,B020,M00653,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-14T21:44:00,2025-07-16T22:44:00,Completed,2.1,378.13,Cleared
INSP00231,B020,M00660,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-17T17:44:00,2025-07-18T22:44:00,Completed,3.4,6.58,Route Changed
INSP00232,B020,M00661,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-16T22:44:00,2025-07-19T03:44:00,Completed,3.1,430.73,Cleared
INSP00233,B020,M00663,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T21:44:00,2025-07-20T01:44:00,Completed,2.2,304.71,Cleared
INSP00234,B020,M00664,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T23:44:00,2025-07-20T04:44:00,Completed,1.1,408.94,Cleared
INSP00235,B020,M00667,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T21:44:00,2025-07-21T02:44:00,Completed,3.2,2.54,Cleared
INSP00236,B020,M00668,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-17T18:44:00,2025-07-18T23:44:00,Completed,3.7,74.52,Cleared
INSP00237,B020,M00669,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-16T17:44:00,2025-07-18T21:44:00,Completed,2.7,281.64,Cleared
INSP00238,B020,M00670,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T20:44:00,2025-07-19T04:44:00,Completed,1.3,369.08,Cleared
INSP00239,B020,M00671,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-14T18:44:00,2025-07-15T19:44:00,Completed,3.1,143.38,Special Handling
INSP00240,B020,M00672,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-15T19:44:00,2025-07-19T00:44:00,Completed,3.6,397.96,Cleared
INSP00241,B021,M00674,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-25T00:43:00,2025-07-27T08:43:00,Completed,1.8,417.80,Cleared
INSP00242,B021,M00682,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-26T20:43:00,2025-07-28T23:43:00,Completed,1.1,438.93,Cleared
INSP00243,B021,M00683,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-25T21:43:00,2025-07-27T23:43:00,Completed,2.4,88.50,Cleared
INSP00244,B021,M00689,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-27T00:43:00,2025-07-30T03:43:00,Completed,3.6,234.31,Cleared
INSP00245,B021,M00693,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-24T19:43:00,2025-07-27T23:43:00,Completed,3.5,20.95,Cleared
INSP00246,B021,M00694,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-26T19:43:00,2025-08-01T03:43:00,Completed,4.0,129.30,Special Handling
INSP00247,B021,M00700,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-25T18:43:00,2025-07-27T20:43:00,Completed,2.9,215.53,Cleared
INSP00248,B021,M00714,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-25T22:43:00,2025-07-28T04:43:00,Completed,1.5,163.68,Cleared
INSP00249,B021,M00715,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-07-26T20:43:00,2025-07-27T21:43:00,Completed,2.2,69.44,Special Handling
INSP00250,B021,M00716,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-29T01:43:00,2025-08-02T09:43:00,Completed,0.8,431.36,Cleared
INSP00251,B021,M00717,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-07-28T22:43:00,2025-08-03T02:43:00,Completed,0.6,194.91,Cleared
INSP00252,B022,M00718,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-08T23:46:00,2025-08-13T00:46:00,Completed,2.2,166.76,Cleared
INSP00253,B022,M00719,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-05T19:46:00,2025-08-11T01:46:00,Completed,0.9,99.34,Cleared
INSP00254,B022,M00723,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-06T01:46:00,2025-08-09T07:46:00,Completed,1.5,310.55,Cleared
INSP00255,B022,M00729,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-05T21:46:00,2025-08-10T04:46:00,Completed,2.2,0.66,Cleared
INSP00256,B022,M00732,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-06T19:46:00,2025-08-08T20:46:00,Completed,0.5,40.31,Cleared
INSP00257,B022,M00740,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-07T20:46:00,2025-08-12T23:46:00,Completed,2.2,357.25,Special Handling
INSP00258,B022,M00744,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-05T21:46:00,2025-08-08T01:46:00,Completed,3.6,449.31,Cleared
INSP00259,B022,M00755,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-07T22:46:00,2025-08-10T03:46:00,Completed,4.0,320.73,Special Handling
INSP00260,B022,M00756,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-07T18:46:00,2025-08-11T19:46:00,Completed,1.3,443.53,Cleared
INSP00261,B023,M00757,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T22:50:00,2025-08-18T04:50:00,Completed,3.0,207.57,Cleared
INSP00262,B023,M00758,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T19:50:00,2025-08-19T21:50:00,Completed,3.3,165.36,Cleared
INSP00263,B023,M00759,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T19:50:00,2025-08-23T02:50:00,Completed,3.6,385.23,Cleared
INSP00264,B023,M00760,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-16T18:50:00,2025-08-21T20:50:00,Completed,3.0,402.96,Cleared
INSP00265,B023,M00762,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-18T19:50:00,2025-08-20T23:50:00,Completed,1.3,360.22,Special Handling
INSP00266,B023,M00765,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T22:50:00,2025-08-21T01:50:00,Completed,0.8,257.03,Cleared
INSP00267,B023,M00767,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-18T23:50:00,2025-08-23T05:50:00,Completed,3.4,85.36,Cleared
INSP00268,B023,M00768,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T23:50:00,2025-08-25T03:50:00,Completed,2.6,118.94,Cleared
INSP00269,B023,M00769,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-17T18:50:00,2025-08-19T01:50:00,Completed,3.1,195.23,Route Changed
INSP00270,B023,M00770,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-16T22:50:00,2025-08-22T02:50:00,Completed,2.6,52.86,Route Changed
INSP00271,B023,M00772,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-17T18:50:00,2025-08-22T02:50:00,Completed,1.0,210.85,Cleared
INSP00272,B023,M00773,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T22:50:00,2025-08-21T06:50:00,Completed,1.2,419.00,Cleared
INSP00273,B023,M00775,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T23:50:00,2025-08-17T06:50:00,Completed,1.7,383.47,Cleared
INSP00274,B023,M00776,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T23:50:00,2025-08-17T01:50:00,Completed,1.5,169.40,Cleared
INSP00275,B023,M00778,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T15:50:00,2025-08-19T18:50:00,Completed,1.1,181.53,Cleared
INSP00276,B023,M00779,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T22:50:00,2025-08-22T04:50:00,Completed,1.4,47.93,Cleared
INSP00277,B023,M00780,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-15T18:50:00,2025-08-16T19:50:00,Completed,3.3,21.13,Special Handling
INSP00278,B023,M00781,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-19T17:50:00,2025-08-22T21:50:00,Completed,0.7,333.47,Cleared
INSP00279,B023,M00782,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-17T16:50:00,2025-08-20T22:50:00,Completed,3.0,76.09,Cleared
INSP00280,B024,M00783,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-31T23:12:00,2025-09-05T06:12:00,Completed,2.3,2.83,Cleared
INSP00281,B024,M00785,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-27T18:12:00,2025-08-30T20:12:00,Completed,1.6,385.77,Cleared
INSP00282,B024,M00793,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-31T23:12:00,2025-09-02T01:12:00,Completed,3.0,62.14,Special Handling
INSP00283,B024,M00794,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-28T23:12:00,2025-09-02T02:12:00,Completed,2.4,248.42,Route Changed
INSP00284,B024,M00796,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-31T00:12:00,2025-09-04T07:12:00,Completed,1.9,150.54,Cleared
INSP00285,B024,M00814,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-30T22:12:00,2025-09-01T03:12:00,Completed,3.0,375.75,Cleared
INSP00286,B024,M00815,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-08-28T00:12:00,2025-08-31T08:12:00,Completed,1.3,356.54,Special Handling
INSP00287,B024,M00816,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-08-31T00:12:00,2025-09-05T08:12:00,Completed,1.6,301.01,Cleared
INSP00288,B025,M00820,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-06T19:33:00,2025-09-10T22:33:00,Completed,2.9,365.74,Cleared
INSP00289,B025,M00821,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-06T21:33:00,2025-09-08T22:33:00,Completed,3.1,306.80,Cleared
INSP00290,B025,M00822,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-06T16:33:00,2025-09-07T22:33:00,Completed,2.8,36.69,Cleared
INSP00291,B025,M00825,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-08T17:33:00,2025-09-12T23:33:00,Completed,1.9,148.79,Cleared
INSP00292,B025,M00828,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-07T17:33:00,2025-09-12T01:33:00,Completed,2.2,150.20,Cleared
INSP00293,B025,M00829,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-08T19:33:00,2025-09-13T20:33:00,Completed,2.1,235.75,Cleared
INSP00294,B025,M00834,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-07T21:33:00,2025-09-13T02:33:00,Completed,3.6,23.33,Cleared
INSP00295,B025,M00836,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-06T21:33:00,2025-09-11T02:33:00,Completed,3.1,395.59,Cleared
INSP00296,B025,M00838,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-10T21:33:00,2025-09-16T01:33:00,Completed,2.0,398.08,Special Handling
INSP00297,B025,M00841,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-10T15:33:00,2025-09-12T16:33:00,Completed,1.8,218.40,Cleared
INSP00298,B025,M00845,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-08T22:33:00,2025-09-13T23:33:00,Completed,3.9,415.28,Cleared
INSP00299,B025,M00846,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-09T18:33:00,2025-09-14T00:33:00,Completed,1.4,242.22,Route Changed
INSP00300,B025,M00848,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-06T18:33:00,2025-09-09T20:33:00,Completed,1.4,310.30,Cleared
INSP00301,B025,M00849,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-07T15:33:00,2025-09-09T17:33:00,Completed,1.1,346.77,Cleared
INSP00302,B025,M00851,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-07T22:33:00,2025-09-12T00:33:00,Completed,0.9,382.54,Special Handling
INSP00303,B025,M00852,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-08T23:33:00,2025-09-14T01:33:00,Completed,2.3,438.53,Cleared
INSP00304,B026,M00853,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-15T18:23:00,2025-09-17T20:23:00,Completed,1.4,107.21,Cleared
INSP00305,B026,M00855,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-18T18:23:00,2025-09-23T19:23:00,Completed,3.2,44.59,Cleared
INSP00306,B026,M00860,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-16T20:23:00,2025-09-19T01:23:00,Completed,2.6,446.35,Special Handling
INSP00307,B026,M00869,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-18T15:23:00,2025-09-20T20:23:00,Completed,2.0,353.57,Route Changed
INSP00308,B026,M00871,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-19T21:23:00,2025-09-22T04:23:00,Completed,0.5,61.79,Cleared
INSP00309,B026,M00875,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-15T15:23:00,2025-09-19T16:23:00,Completed,2.0,342.70,Special Handling
INSP00310,B026,M00876,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-15T19:23:00,2025-09-19T23:23:00,Completed,2.3,250.90,Special Handling
INSP00311,B026,M00877,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-16T15:23:00,2025-09-19T20:23:00,Completed,2.1,215.56,Cleared
INSP00312,B026,M00878,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-09-17T21:23:00,2025-09-23T02:23:00,Completed,3.3,117.74,Cleared
INSP00313,B027,M00881,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-10-02T20:49:00,2025-10-04T21:49:00,Completed,1.4,412.65,Cleared
INSP00314,B027,M00882,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-29T20:49:00,2025-10-02T21:49:00,Completed,1.2,354.32,Cleared
INSP00315,B027,M00883,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-10-01T22:49:00,2025-10-03T01:49:00,Completed,3.9,407.57,Cleared
INSP00316,B027,M00884,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-10-02T18:49:00,2025-10-06T21:49:00,Completed,2.3,384.59,Cleared
INSP00317,B027,M00885,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-30T22:49:00,2025-10-02T04:49:00,Completed,2.5,241.46,Cleared
INSP00318,B027,M00886,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-29T21:49:00,2025-10-03T03:49:00,Completed,2.7,109.77,Cleared
INSP00319,B027,M00887,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-30T17:49:00,2025-10-03T19:49:00,Completed,1.1,303.27,Cleared
INSP00320,B027,M00888,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-30T22:49:00,2025-10-03T06:49:00,Completed,2.8,177.59,Cleared
INSP00321,B027,M00889,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-10-01T21:49:00,2025-10-05T23:49:00,Completed,0.7,104.75,Special Handling
INSP00322,B027,M00890,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-09-30T17:49:00,2025-10-02T22:49:00,Completed,3.3,417.56,Route Changed
INSP00323,B027,M00892,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-10-03T17:49:00,2025-10-06T01:49:00,Completed,2.3,377.22,Cleared
INSP00324,B027,M00893,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-10-02T19:49:00,2025-10-06T02:49:00,Completed,0.6,187.32,Cleared
