material_id,batch_id,estimated_weight_kg,species,material_form,former_use,known_treatment_status,surface_condition,record_completeness,requires_inspection,special_handling_flag,initial_recovery_grade,recovery_grade,current_route,resolution_status,output_date
M00319,B010,1775.5,Spotted Gum,Beam,Portal frame member,Unknown,Poor,Critical Information Missing,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-04-20
M00320,B010,151.4,Blackbutt,Board,Dunnage,No Treatment Recorded,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-20
M00321,B010,1177.8,Mountain Ash,Beam,Floor joist,Known Treatment Recorded,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-20
M00322,B010,1625.5,Mountain Ash,Beam,Racking beam,No Treatment Recorded,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-20
M00323,B010,85.8,Unknown / Mixed,Flooring,Flooring strip,Unknown,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-20
M00324,B010,1310.8,Spotted Gum,Beam,Roof beam,No Treatment Recorded,Poor,Partial,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-04-20
M00325,B010,646.2,Sydney Blue Gum,Beam,Racking beam,No Treatment Recorded,Poor,Partial,Yes,No,Rustic,Feedstock,Board Feedstock,Output,2025-04-20
M00326,B010,2666.9,Unknown / Mixed,Beam,Floor joist,Known Treatment Recorded,Poor,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-20
M00327,B010,44.2,Radiata Pine,Flooring,Floor board,No Treatment Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-20
M00328,B010,118.9,Ironbark,Board,Dunnage,No Treatment Recorded,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-20
M00329,B010,804.0,Messmate,Flooring,Floor board,Adhesive / Composite Concern,Fair,Partial,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-04-20
M00330,B010,1312.0,Mixed Hardwood,Board,Formwork board,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-04-20
M00331,B011,991.0,Blackbutt,Flooring,Decking board,No Treatment Recorded,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-04-24
M00332,B011,2267.3,Radiata Pine,Structural Member,Purlin,Unknown,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-04-24
M00333,B011,176.7,Cypress Pine,Flooring,Decking board,Known Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-04-24
M00334,B011,114.0,Unknown / Mixed,Cladding,Weatherboard,Adhesive / Composite Concern,Good,Partial,Yes,Yes,Character,Character,Special Handling,Output,2025-04-24
M00335,B011,501.0,Radiata Pine,Flooring,Decking board,Unknown,Poor,Partial,Yes,No,Character,Rustic,Board Feedstock,Output,2025-04-24
M00336,B011,279.2,Unknown / Mixed,Board,Fence palings,No Treatment Recorded,Good,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00337,B011,2175.0,Mixed Hardwood,Beam,Racking beam,Surface Coating Recorded,Fair,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00338,B011,171.8,Cypress Pine,Board,Fence palings,No Treatment Recorded,Good,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00339,B011,593.1,Ironbark,Mixed Salvage,Assorted recovered timber,Conflicting Record,Poor,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00340,B011,221.5,Unknown / Mixed,Flooring,Decking board,No Treatment Recorded,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00341,B011,2732.4,Cypress Pine,Beam,Roof beam,Unknown,Fair,Critical Information Missing,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-04-24
M00342,B011,595.0,Oregon,Cladding,Fascia board,No Treatment Recorded,Poor,Critical Information Missing,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-04-24
M00343,B011,1571.8,Unknown / Mixed,Structural Member,Roof rafter,Unknown,Poor,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00344,B011,1179.2,Spotted Gum,Post,Structural post,Adhesive / Composite Concern,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00345,B011,1954.5,Spotted Gum,Beam,Roof beam,No Treatment Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00346,B011,1682.8,Cypress Pine,Post,Structural post,No Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00347,B011,472.2,Radiata Pine,Board,Fence palings,Known Treatment Recorded,Good,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00348,B011,263.1,Unknown / Mixed,Flooring,Flooring strip,Adhesive / Composite Concern,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00349,B011,270.1,Cypress Pine,Board,Sawn board,No Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00350,B011,326.1,Messmate,Cladding,Cladding panel,No Treatment Recorded,Fair,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00351,B011,2150.4,Mixed Hardwood,Beam,Floor joist,No Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00352,B011,911.9,Cypress Pine,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Poor,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00353,B011,1073.5,Radiata Pine,Mixed Salvage,Mixed salvage lot,Conflicting Record,Fair,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00354,B011,2039.0,Oregon,Beam,Roof beam,Unknown,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00355,B011,154.8,Unknown / Mixed,Flooring,Flooring strip,Unknown,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00356,B011,1944.7,Oregon,Structural Member,Truss member,No Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00357,B011,194.0,Ironbark,Board,Fence palings,No Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00358,B011,259.4,Unknown / Mixed,Board,Dunnage,Surface Coating Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00359,B011,236.7,Cypress Pine,Flooring,Floor board,Adhesive / Composite Concern,Poor,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00360,B011,1733.6,Radiata Pine,Post,Verandah post,No Treatment Recorded,Fair,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00361,B011,1214.4,Cypress Pine,Post,Structural post,Adhesive / Composite Concern,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00362,B011,452.8,Cypress Pine,Board,Dunnage,Conflicting Record,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-04-24
M00363,B011,802.0,Unknown / Mixed,Beam,Portal frame member,Known Treatment Recorded,Poor,Partial,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-04-24
M00364,B011,1195.0,Radiata Pine,Beam,Floor joist,Unknown,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-04-24
M00365,B012,1329.5,Mountain Ash,Post,Structural post,No Treatment Recorded,Poor,Critical Information Missing,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-12
M00366,B012,865.4,Radiata Pine,Mixed Salvage,Mixed salvage lot,Surface Coating Recorded,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-12
M00367,B012,1027.1,Mixed Hardwood,Structural Member,Truss member,Conflicting Record,Poor,Partial,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-05-12
M00368,B012,88.3,Blackbutt,Board,Sawn board,Conflicting Record,Fair,Critical Information Missing,No,No,Character,Character,Higher-value Recovery,Output,2025-05-12
M00369,B012,219.5,Mountain Ash,Cladding,Fascia board,Adhesive / Composite Concern,Good,Critical Information Missing,No,No,Character,Character,Higher-value Recovery,Output,2025-05-12
M00370,B012,1577.1,Unknown / Mixed,Post,Fence post,Conflicting Record,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-12
M00371,B012,2746.7,Unknown / Mixed,Beam,Floor joist,Adhesive / Composite Concern,Severely Degraded,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-12
M00372,B012,275.4,Unknown / Mixed,Other,Miscellaneous timber,Conflicting Record,Poor,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-12
M00373,B012,292.0,Radiata Pine,Board,Dunnage,Adhesive / Composite Concern,Fair,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-05-12
M00374,B012,630.0,Unknown / Mixed,Post,Fence post,Adhesive / Composite Concern,Poor,Critical Information Missing,Yes,No,Character,Rustic,Board Feedstock,Output,2025-05-12
M00375,B012,304.2,Oregon,Board,Dunnage,No Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00376,B012,1222.8,Oregon,Post,Verandah post,Conflicting Record,Good,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00377,B012,659.0,Mixed Hardwood,Structural Member,Roof rafter,Conflicting Record,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00378,B012,1661.4,Oregon,Structural Member,Wall stud,Adhesive / Composite Concern,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00379,B012,204.2,Spotted Gum,Board,Sawn board,Unknown,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00380,B012,185.3,Unknown / Mixed,Other,Joinery offcut,Unknown,Good,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00381,B012,2727.1,Blackbutt,Beam,Racking beam,No Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-12
M00382,B012,748.0,Mountain Ash,Board,Formwork board,Surface Coating Recorded,Poor,Partial,Yes,No,Rustic,Feedstock,Board Feedstock,Output,2025-05-12
M00383,B012,408.7,Unknown / Mixed,Board,Fence palings,No Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00384,B012,2605.6,Radiata Pine,Beam,Racking beam,Conflicting Record,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00385,B012,289.2,Radiata Pine,Flooring,Decking board,Unknown,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00386,B012,791.4,Unknown / Mixed,Structural Member,Purlin,Conflicting Record,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00387,B012,680.1,Cypress Pine,Other,Shelving,Unknown,Good,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00388,B012,1628.6,Blackbutt,Beam,Roof beam,Unknown,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00389,B012,299.7,Unknown / Mixed,Cladding,Weatherboard,No Treatment Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00390,B012,1817.0,Cypress Pine,Structural Member,Purlin,Known Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00391,B012,797.7,Unknown / Mixed,Structural Member,Truss member,No Treatment Recorded,Fair,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-12
M00392,B012,516.0,Mountain Ash,Board,Sawn board,Conflicting Record,Poor,Complete,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-05-12
M00393,B012,1003.0,Unknown / Mixed,Board,Dunnage,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-05-12
M00394,B013,96.1,Messmate,Flooring,Floor board,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00395,B013,1686.1,Blackbutt,Beam,Roof beam,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00396,B013,1883.1,Blackbutt,Beam,Portal frame member,Surface Coating Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00397,B013,1948.7,Sydney Blue Gum,Beam,Portal frame member,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00398,B013,115.2,Messmate,Board,Formwork board,Known Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00399,B013,1084.5,Unknown / Mixed,Structural Member,Truss member,Known Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00400,B013,1273.8,Radiata Pine,Beam,Racking beam,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00401,B013,504.9,Spotted Gum,Structural Member,Purlin,Surface Coating Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00402,B013,62.8,Blackbutt,Board,Fence palings,Known Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00403,B013,156.7,Messmate,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00404,B013,1189.6,Mountain Ash,Beam,Racking beam,No Treatment Recorded,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00405,B013,2049.7,Mountain Ash,Beam,Portal frame member,Adhesive / Composite Concern,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00406,B013,360.5,Unknown / Mixed,Other,Shelving,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00407,B013,124.3,Unknown / Mixed,Other,Joinery offcut,Known Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00408,B013,1642.2,Sydney Blue Gum,Beam,Roof beam,Conflicting Record,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00409,B013,1711.8,Blackbutt,Beam,Racking beam,Known Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-19
M00410,B013,2417.2,Spotted Gum,Beam,Floor joist,Known Treatment Recorded,Poor,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00411,B013,99.9,Mountain Ash,Board,Dunnage,Surface Coating Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00412,B013,853.1,Ironbark,Structural Member,Roof rafter,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00413,B013,448.9,Ironbark,Other,Joinery offcut,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00414,B013,266.3,Mixed Hardwood,Board,Dunnage,Unknown,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00415,B013,2660.1,Blackbutt,Beam,Roof beam,Adhesive / Composite Concern,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00416,B013,553.4,Blackbutt,Post,Structural post,Known Treatment Recorded,Good,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00417,B013,736.3,Mixed Hardwood,Structural Member,Purlin,No Treatment Recorded,Good,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00418,B013,1179.9,Mixed Hardwood,Beam,Roof beam,No Treatment Recorded,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00419,B013,174.4,Radiata Pine,Cladding,Fascia board,No Treatment Recorded,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00420,B013,263.7,Messmate,Cladding,Cladding panel,No Treatment Recorded,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00421,B013,1889.8,Sydney Blue Gum,Beam,Floor joist,Surface Coating Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-19
M00422,B013,1274.0,Sydney Blue Gum,Flooring,Floor board,Unknown,Good,Partial,Yes,Yes,Character,Character,Special Handling,Output,2025-05-19
M00423,B013,1116.0,Blackbutt,Board,Fence palings,Known Treatment Recorded,Poor,Complete,No,No,Character,Rustic,Board Feedstock,Output,2025-05-19
M00424,B013,151.7,Unknown / Mixed,Other,Shelving,Known Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00425,B013,820.7,Sydney Blue Gum,Structural Member,Truss member,Unknown,Poor,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00426,B013,1634.0,Messmate,Beam,Roof beam,No Treatment Recorded,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00427,B013,463.7,Unknown / Mixed,Other,Miscellaneous timber,No Treatment Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00428,B013,2577.5,Spotted Gum,Beam,Racking beam,No Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00429,B013,2628.9,Oregon,Beam,Portal frame member,Surface Coating Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00430,B013,90.1,Mountain Ash,Flooring,Decking board,Surface Coating Recorded,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00431,B013,176.6,Sydney Blue Gum,Board,Formwork board,Known Treatment Recorded,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00432,B013,147.8,Spotted Gum,Board,Dunnage,Unknown,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-19
M00433,B013,1326.0,Sydney Blue Gum,Beam,Portal frame member,Known Treatment Recorded,Poor,Partial,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-05-19
M00434,B013,649.2,Ironbark,Other,Miscellaneous timber,Surface Coating Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00435,B013,254.3,Ironbark,Board,Sawn board,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00436,B013,1704.8,Radiata Pine,Structural Member,Truss member,Known Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00437,B013,2900.5,Oregon,Beam,Roof beam,No Treatment Recorded,Good,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00438,B013,488.8,Mountain Ash,Board,Fence palings,No Treatment Recorded,Good,Complete,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00439,B013,466.4,Spotted Gum,Other,Joinery offcut,No Treatment Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-19
M00440,B013,819.0,Unknown / Mixed,Board,Fence palings,Adhesive / Composite Concern,Poor,Complete,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-05-19
M00441,B013,105.8,Mixed Hardwood,Flooring,Flooring strip,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-05-19
M00442,B013,1671.2,Messmate,Beam,Roof beam,No Treatment Recorded,Severely Degraded,Critical Information Missing,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-05-19
M00443,B014,1250.4,Unknown / Mixed,Structural Member,Roof rafter,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-30
M00444,B014,1224.6,Unknown / Mixed,Post,Structural post,Conflicting Record,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-05-30
M00445,B014,1051.6,Unknown / Mixed,Board,Dunnage,Conflicting Record,Fair,Critical Information Missing,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-30
M00446,B014,604.8,Oregon,Flooring,Flooring strip,Adhesive / Composite Concern,Fair,Critical Information Missing,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-30
M00447,B014,953.8,Unknown / Mixed,Board,Formwork board,Unknown,Fair,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-05-30
M00448,B014,1210.8,Radiata Pine,Flooring,Floor board,Unknown,Fair,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-05-30
M00449,B014,172.0,Radiata Pine,Beam,Roof beam,Adhesive / Composite Concern,Poor,Critical Information Missing,Yes,Yes,Character,Character,Special Handling,Output,2025-05-30
M00450,B014,484.0,Messmate,Board,Sawn board,No Treatment Recorded,Poor,Critical Information Missing,Yes,No,Character,Rustic,Board Feedstock,Output,2025-05-30
M00451,B014,2231.4,Unknown / Mixed,Mixed Salvage,Mixed salvage lot,No Treatment Recorded,Good,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-30
M00452,B014,507.3,Mixed Hardwood,Cladding,Fascia board,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Rustic,Rustic,Board Feedstock,Output,2025-05-30
M00453,B014,554.6,Radiata Pine,Cladding,Fascia board,Known Treatment Recorded,Fair,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-30
M00454,B014,972.0,Oregon,Cladding,Cladding panel,Surface Coating Recorded,Poor,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-30
M00455,B014,1083.7,Unknown / Mixed,Cladding,Weatherboard,Unknown,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-05-30
M00456,B014,575.0,Oregon,Beam,Racking beam,No Treatment Recorded,Poor,Partial,No,No,Rustic,Feedstock,Board Feedstock,Output,2025-05-30
M00457,B014,2891.9,Blackbutt,Post,Fence post,Known Treatment Recorded,Poor,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00458,B014,469.3,Messmate,Flooring,Floor board,Known Treatment Recorded,Fair,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00459,B014,1617.5,Unknown / Mixed,Post,Structural post,Known Treatment Recorded,Good,Partial,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00460,B014,809.5,Unknown / Mixed,Board,Formwork board,No Treatment Recorded,Poor,Critical Information Missing,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00461,B014,562.8,Radiata Pine,Board,Dunnage,Surface Coating Recorded,Fair,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00462,B014,413.4,Radiata Pine,Board,Sawn board,Surface Coating Recorded,Good,Complete,No,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00463,B014,485.6,Radiata Pine,Cladding,Fascia board,Unknown,Poor,Critical Information Missing,Yes,No,Feedstock,Feedstock,Board Feedstock,Output,2025-05-30
M00464,B014,304.0,Messmate,Structural Member,Truss member,Adhesive / Composite Concern,Poor,Partial,Yes,Yes,Feedstock,Feedstock,Special Handling,Output,2025-05-30
M00465,B014,770.0,Unknown / Mixed,Post,Verandah post,Surface Coating Recorded,Severely Degraded,Partial,Yes,No,Feedstock,Feedstock,Residual / Disposal,Output,2025-05-30
M00466,B015,304.9,Cypress Pine,Flooring,Floor board,Adhesive / Composite Concern,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00467,B015,671.8,Cypress Pine,Mixed Salvage,Assorted recovered timber,No Treatment Recorded,Fair,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00468,B015,1913.1,Ironbark,Structural Member,Purlin,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00469,B015,2162.6,Oregon,Structural Member,Truss member,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00470,B015,505.4,Blackbutt,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Good,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00471,B015,128.7,Unknown / Mixed,Board,Fence palings,No Treatment Recorded,Fair,Partial,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00472,B015,348.7,Cypress Pine,Board,Formwork board,No Treatment Recorded,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00473,B015,1829.8,Cypress Pine,Post,Structural post,Surface Coating Recorded,Poor,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-06-09
M00474,B015,877.3,Blackbutt,Structural Member,Purlin,Adhesive / Composite Concern,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00475,B015,2253.6,Radiata Pine,Beam,Roof beam,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00476,B015,979.0,Spotted Gum,Post,Fence post,Known Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00477,B015,1317.9,Spotted Gum,Structural Member,Truss member,No Treatment Recorded,Good,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00478,B015,483.8,Oregon,Post,Fence post,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00479,B015,1006.1,Mountain Ash,Structural Member,Roof rafter,No Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00480,B015,527.7,Unknown / Mixed,Mixed Salvage,Mixed salvage lot,Known Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00481,B015,1095.8,Mountain Ash,Structural Member,Roof rafter,Unknown,Good,Partial,Yes,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00482,B015,161.8,Oregon,Board,Dunnage,Known Treatment Recorded,Good,Complete,No,No,Character,Character,Higher-value Recovery,Output,2025-06-09
M00483,B015,812.0,Unknown / Mixed,Beam,Racking beam,Unknown,Good,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-06-09
M00484,B015,959.0,Spotted Gum,Structural Member,Purlin,Known Treatment Recorded,Poor,Partial,Yes,No,Character,Rustic,Board Feedstock,Output,2025-06-09
M00485,B015,185.6,Mixed Hardwood,Flooring,Floor board,No Treatment Recorded,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-06-09
M00486,B015,734.3,Mixed Hardwood,Mixed Salvage,Mixed salvage lot,No Treatment Recorded,Fair,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-06-09
M00487,B015,327.8,Sydney Blue Gum,Flooring,Decking board,Unknown,Fair,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-06-09
M00488,B015,1042.4,Cypress Pine,Post,Verandah post,Surface Coating Recorded,Fair,Critical Information Missing,No,No,Rustic,Rustic,Board Feedstock,Output,2025-06-09
